sa_11_code,ratio_sa_intersection_com
N00000847,1
N00000852,1
N00000841,1
N00000848,1
N00000842,1
N00000853,1
N00000849,1
N00000854,1
N00000843,1
N00000844,1
N00000845,1
N00000846,1
N00000850,1
N00000851,1
N00000920,0.9900905
N00000921,0.6689448
N00000922,0.9919709
N00000906,1
N00000923,1
N00000913,1
N00000924,1
N00000907,1
N00000914,1
N00000908,1
N00000915,1
N00000916,1
N00000917,1
N00000909,1
N00000918,1
N00000910,1
N00000919,1
N00000911,1
N00000912,1
N00000925,0.9484897
N00001047,0.0470907
N00001049,0.0548635
N00001050,0.5045067
N00001056,7.35e-05
N00001086,0.3856283
N00001085,0.0101645
N00001089,1
N00001090,0.9471564
N00001082,0.0135687
N00001101,1
N00001096,1
N00001091,1
N00001097,1
N00001092,1
N00001093,1
N00001098,1
N00001102,1
N00001103,1
N00001094,1
N00001095,1
N00001099,1
N00001100,1
N00001104,1
N00001105,1
N00001113,1
N00001106,0.0088501
N00001114,0.1941719
N00001116,0.4966313
N00001109,0.0257085
N00001110,0.4283823
N00001111,0.8735685
N00001117,1
N00001124,1
N00001118,1
N00001119,1
N00001120,1
N00001125,1
N00001126,1
N00001127,1
N00001128,1
N00001121,1
N00001129,1
N00001122,1
N00001123,1
N00001156,0.4973199
N00001145,0.0260661
N00001151,0.058652
N00001224,1
N00001217,1
N00001225,1
N00001226,1
N00001218,0.9513004
N00001219,0.0202198
N00001220,0.9992154
N00001221,1
N00001222,1
N00001227,1
N00001228,1
N00001223,0.5334017
N00001229,1
N00001230,1
N00001246,0.9658823
N00001257,1
N00001251,1
N00001252,0.9758542
N00001253,1
N00001247,0.1484971
N00001258,1
N00001259,1
N00001260,0.9885733
N00001261,0.9869699
N00001262,0.9463366
N00001248,0.1196043
N00001249,1
N00001254,1
N00001250,0.4301053
N00001255,1
N00001256,1
N00001319,1
N00001320,1
N00001321,1
N00001308,0.0323774
N00001309,0.1334815
N00001310,0.0970636
N00001314,1
N00001311,0.7563293
N00001312,0.9929361
N00001315,1
N00001316,1
N00001313,1
N00001317,1
N00001318,1
N00001322,1
N00001323,1
N00001324,1
N00001350,0.0079287
N00001354,0.0004105
N00001353,0.0180304
N00001431,1
N00001432,1
N00001433,1
N00001437,0.9997898
N00001434,1
N00001438,1
N00001439,0.1937633
N00001440,1
N00001435,1
N00001436,1
N00001441,1
N00001442,1
N00001443,1
N00001444,0.97206
N00001536,0.0012088
N00001558,6.26e-05
N00001552,1
N00001559,0.7051109
N00001553,1
N00001554,1
N00001555,1
N00001546,1
N00001556,1
N00001547,1
N00001548,0.9158471
N00001549,1
N00001557,1
N00001550,1
N00001551,0.9967862
N00001561,0.8075773
N00001564,0.1398908
N00001623,1
N00001635,1
N00001636,1
N00001637,1
N00001629,1
N00001638,1
N00001639,1
N00001640,1
N00001630,1
N00001631,1
N00001632,1
N00001633,1
N00001634,1
N00001624,1
N00001625,1
N00001626,1
N00001627,1
N00001628,0.9960319
