soa_11_code,ratio_soa_intersection_com
95GG02S1,1
95GG02S2,1
95GG02S3,1
95GG06S1,1
95GG06S2,1
95GG06S3,0.8349828
95GG14S1,0.2353088
95GG14S3,5.56e-05
95GG16S1,0.0022296
95GG16S2,0.004112
95GG16S3,0.6409588
95GG17S1,1
95GG17S2,1
95GG17S3,1
95GG18S1,0.2180864
95GG18S2,0.7767071
95GG19S1,1
95GG19S2,1
95GG21S1,0.0081032
95GG21S2,0.0099427
95GG21S3,0.274975
95GG26S1,0.1975638
95GG26S2,1
95GG28S1,0.2527349
95GG28S2,0.9950597
95GG28S3,0.9829299
95GG32S1,0.1245223
95GG32S2,1
95GG32S3,1
95GG35S1,0.0060108
95GG35S2,0.0002429
95GG40S1,1
95GG40S2,0.8674462
95GG46S2,0.0004607
95GG47S1,0.940235
95GG47S2,1
95GG47S3,0.463766
95GG51S1,0.9992155
95GG51S2,1
95GG51S3,1
